债券代码,债券简称,申购日期,正股代码,正股简称,正股价,转股价,转股价值,发行规模
113647,禾丰转债,2022-04-22,603609,禾丰股份,6.46,10.09,64.0238,15.0
127062,垒知转债,2022-04-21,002398,垒知集团,4.21,7.56,55.6878,3.963
123145,药石转债,2022-04-20,300725,药石科技,46.83,nan,nan,11.5
127061,美锦转债,2022-04-20,000723,美锦能源,3.9,3.47,112.3919,35.9
127060,湘佳转债,2022-04-19,002982,湘佳股份,12.56,13.8,91.0145,6.4
113644,艾迪转债,2022-04-15,603638,艾迪精密,18.92,nan,nan,10.0
113646,永吉转债,2022-04-14,603058,永吉股份,9.27,8.05,115.1553,1.45868
123144,裕兴转债,2022-04-11,300305,裕兴股份,6.13,7.0,87.5714,6.0
127059,永东转2,2022-04-08,002753,永东股份,6.64,8.11,81.8742,3.8
123143,胜蓝转债,2022-03-31,300843,胜蓝股份,137.49,nan,nan,3.3
113058,友发转债,2022-03-30,601686,友发集团,5.22,4.48,116.5179,20.0
111004,明新转债,2022-03-30,605068,明新旭腾,17.42,24.37,71.4813,6.73
113643,风语转债,2022-03-25,603466,风语筑,11.09,11.8,93.9831,5.0
113057,中银转债,2022-03-24,601881,中国银河,12.31,nan,nan,78.0
113056,重银转债,2022-03-23,601963,重庆银行,11.0,9.22,119.3059,130.0
118007,山石转债,2022-03-22,688030,山石网科,16.95,16.5,102.7273,2.6743
127058,科伦转债,2022-03-18,002422,科伦药业,42.28,nan,nan,30.0
123142,申昊转债,2022-03-18,300853,申昊科技,26.86,33.71,79.6796,5.5
118006,阿拉转债,2022-03-15,688179,阿拉丁,20.23,nan,nan,3.874
123141,宏丰转债,2022-03-15,300283,温州宏丰,13.42,nan,nan,3.2126
123140,天地转债,2022-03-14,300743,天地数码,14.52,nan,nan,1.72
123139,铂科转债,2022-03-11,300811,铂科新材,78.87,nan,nan,4.3
111003,聚合转债,2022-03-07,605166,聚合顺,8.38,8.85,94.6893,2.04
127057,盘龙转债,2022-03-03,002864,盘龙药业,22.77,nan,nan,2.76
113055,成银转债,2022-03-03,601838,成都银行,18.76,nan,nan,80.0
123138,丝路转债,2022-03-02,300556,丝路视觉,16.19,26.53,61.0253,2.4
113642,上22转债,2022-03-01,603185,弘元绿能,16.15,nan,nan,24.7
127056,中特转债,2022-02-25,000708,中信特钢,13.95,13.89,100.432,50.0
113054,绿动转债,2022-02-25,601330,绿色动力,7.07,8.67,81.5456,23.6
113641,华友转债,2022-02-24,603799,华友钴业,40.18,nan,nan,76.0
110085,通22转债,2022-02-24,600438,通威股份,11.9,34.6,34.3931,120.0
127055,精装转债,2022-02-22,002989,中天精装,23.7,18.5,128.1081,5.77
113640,苏利转债,2022-02-16,603585,苏利股份,10.3,10.84,95.0185,9.57211
127054,双箭转债,2022-02-11,002381,双箭股份,5.55,6.96,79.7414,5.1364
123137,锦浪转债,2022-02-10,300763,锦浪科技,61.75,nan,nan,8.97
118005,天奈转债,2022-01-27,688116,天奈科技,33.58,99.01,33.9158,8.3
127053,豪美转债,2022-01-24,002988,豪美新材,24.44,17.23,141.8456,8.24
113639,华正转债,2022-01-24,603186,华正新材,183.39,nan,nan,5.7
123136,城市转债,2022-01-21,300778,新城市,10.43,nan,nan,4.6
113053,隆22转债,2022-01-05,601012,隆基绿能,12.15,17.5,69.4286,70.0
118004,博瑞转债,2022-01-04,688166,博瑞医药,35.77,nan,nan,4.65
113638,台21转债,2021-12-29,603055,台华新材,9.3,16.01,58.0887,6.0
123135,泰林转债,2021-12-28,300813,泰林生物,21.43,nan,nan,2.1
123134,卡倍转债,2021-12-27,300863,卡倍亿,42.52,nan,nan,2.79
113052,兴业转债,2021-12-27,601166,兴业银行,18.01,20.13,89.4685,500.0
110084,贵燃转债,2021-12-27,600903,贵州燃气,6.21,6.42,96.729,10.0
127052,西子转债,2021-12-24,002534,西子洁能,15.1,nan,nan,11.1
123133,佩蒂转债,2021-12-22,300673,佩蒂股份,12.81,15.0,85.4,7.2
113637,华翔转债,2021-12-22,603112,华翔股份,15.89,nan,nan,8.0
123132,回盛转债,2021-12-17,300871,回盛生物,23.04,nan,nan,7.0
113636,甬金转债,2021-12-13,603995,甬金股份,25.1,26.22,95.7285,10.0
113635,升21转债,2021-12-10,603305,旭升集团,11.27,nan,nan,13.5
113634,珀莱转债,2021-12-08,603605,珀莱雅,62.34,94.27,66.1292,7.51713
111002,特纸转债,2021-12-08,605007,五洲特纸,14.84,13.49,110.0074,6.7
123131,奥飞转债,2021-12-03,300738,奥飞数据,20.86,10.05,207.5622,6.35
113633,科沃转债,2021-11-30,603486,科沃斯,53.03,172.97,30.6585,10.4
118003,华兴转债,2021-11-29,688001,华兴源创,55.03,nan,nan,8.0
113632,鹤21转债,2021-11-17,603733,仙鹤股份,21.71,nan,nan,20.5
127051,博杰转债,2021-11-17,002975,博杰股份,108.06,nan,nan,5.26
127050,麒麟转债,2021-11-11,002984,森麒麟,14.13,15.07,93.7624,21.989391
110083,苏租转债,2021-11-11,600901,江苏金租,6.54,nan,nan,50.0
123130,设研转债,2021-11-11,300732,设研院,6.0,nan,nan,3.76
113631,皖天转债,2021-11-08,603689,皖天然气,7.6,6.51,116.7435,9.3
111001,山玻转债,2021-11-08,605006,山东玻纤,14.13,nan,nan,6.0
123129,锦鸡转债,2021-11-04,300798,锦鸡股份,7.88,nan,nan,6.0
127049,希望转2,2021-11-02,000876,新希望,7.07,10.59,66.7611,81.5
123128,首华转债,2021-11-01,300483,首华燃气,25.58,nan,nan,13.794971
123127,耐普转债,2021-10-29,300818,耐普矿机,19.14,nan,nan,4.0
110082,宏发转债,2021-10-28,600885,宏发股份,34.02,nan,nan,20.0
113630,赛伍转债,2021-10-27,603212,赛伍技术,11.72,nan,nan,7.0
127048,中大转债,2021-10-26,002896,中大力德,64.52,nan,nan,2.7
127047,帝欧转债,2021-10-25,002798,帝欧水华,5.88,5.1,115.2941,15.0
127046,百润转债,2021-09-29,002568,百润股份,17.49,20.33,86.0305,11.28
113629,泉峰转债,2021-09-14,603982,泉峰汽车,6.19,nan,nan,6.2
123126,瑞丰转债,2021-09-10,300243,瑞丰高材,17.11,nan,nan,3.4
123125,元力转债,2021-09-06,300174,元力股份,19.63,nan,nan,9.0
113628,晨丰转债,2021-08-23,603685,晨丰科技,24.08,nan,nan,4.15
127045,牧原转债,2021-08-16,002714,牧原股份,40.8,43.32,94.1828,95.5
123124,晶瑞转2,2021-08-16,300655,晶瑞电材,13.14,12.79,102.7365,5.23
127044,蒙娜转债,2021-08-16,002918,蒙娜丽莎,10.3,19.76,52.1255,11.6893
118002,天合转债,2021-08-13,688599,天合光能,12.54,nan,nan,52.52
127043,川恒转债,2021-08-12,002895,川恒股份,33.02,nan,nan,11.6
123123,江丰转债,2021-08-12,300666,江丰电子,248.18,nan,nan,5.165
127042,嘉美转债,2021-08-09,002969,嘉美包装,12.52,nan,nan,7.5
123122,富瀚转债,2021-08-06,300613,富瀚微,70.68,91.5,77.2459,5.8119
123121,帝尔转债,2021-08-05,300776,帝尔激光,115.81,nan,nan,8.4
123120,隆华转债,2021-07-30,300263,隆华科技,10.58,nan,nan,7.989283
110081,闻泰转债,2021-07-28,600745,*ST闻泰,19.11,18.36,104.085,86.0
