dd,dt,mp,sp,n,pf,avg_ret,win_rate,avg_cost,sum_ret
15,-0.2,10,0.03,13615,1.28273769116155,0.006141747410943812,0.4567756151303709,0.0036097195739992647,83.61989099999953
15,-0.15,10,0.08,26865,1.2686683647995711,0.006453980011166946,0.6092313418946584,0.0036053984738507357,173.38617299999913
10,-0.15,10,0.08,17501,1.259778425096636,0.006981759442317582,0.6001942746128792,0.0036076380778241246,122.18777200000007
5,-0.1,20,0.05,24805,1.2505647534323143,0.00796912279782302,0.4343075992743399,0.0036087406974400302,197.67409100000015
5,-0.15,10,0.05,8153,1.2461051076829257,0.007351916717772599,0.4839936219796394,0.003606145222617441,59.94017700000006
5,-0.2,10,0.08,3059,1.2386348096171487,0.008589219679633867,0.5246812683883623,0.003613570447858778,26.274423000000073
20,-0.2,10,0.05,18216,1.2386286539474987,0.005403406016688626,0.5439723320158103,0.0036058983860342547,98.42844399999973
20,-0.15,20,0.05,33719,1.2356314997510058,0.00691000008897061,0.47020967407099856,0.003605540526112873,232.99829299999757
10,-0.15,10,0.05,18731,1.2313354621240922,0.005768061662484651,0.5362233730179916,0.003606037050878222,108.04156299999957
5,-0.1,20,0.03,25081,1.2276438607849252,0.006146902954427654,0.337107770822535,0.0036060600853235533,154.17047299999908
15,-0.15,10,0.05,29439,1.206235330057257,0.004721440062502123,0.5478786643568055,0.0036036405108869187,138.9944739999996
5,-0.15,10,0.03,8259,1.204362471437502,0.005452066836178714,0.3864874682164911,0.0036034751180530336,45.02862000000006
20,-0.2,10,0.03,19678,1.1980122451432285,0.004052890131110885,0.4618355523935359,0.0036045925907104382,79.75277200000016
20,-0.15,20,0.03,38437,1.1904852487083502,0.004683038062283737,0.3623071519629524,0.0036021892447381442,180.00193399999787
10,-0.15,10,0.03,19855,1.1878106216398254,0.004208696499622262,0.44492571140770587,0.0036040070007554766,83.5636690000004
10,-0.1,20,0.08,42863,1.1829356927318864,0.006370986585166694,0.5486316870027763,0.003605614655997013,273.07959799999713
20,-0.15,10,0.08,35835,1.1792819881172407,0.004036527863820288,0.6002790567880564,0.0036004829635830887,144.64897599999972
15,-0.15,10,0.03,31788,1.1789011308239588,0.003676304863470492,0.464672203347175,0.0036023937964011583,116.86237899999888
10,-0.1,20,0.05,47043,1.1710051050661925,0.005236206491932912,0.45190570329273216,0.0036040831154475683,246.32686199999904
5,-0.2,10,0.05,3119,1.16736743941115,0.005535177941647964,0.4389227316447579,0.003609127605001602,17.264220000000044
10,-0.1,20,0.03,50741,1.1566392366949099,0.003987779409156304,0.3456376500266057,0.0036022111704538742,202.34391500000024
5,-0.08,20,0.08,39856,1.1557914621931653,0.005464090124448013,0.5328181453231634,0.0036056336310718575,217.77677599999802
20,-0.1,20,0.08,57501,1.1448330299313891,0.004466867463174554,0.5668249247839168,0.0035991326759534613,256.84934599999644
15,-0.1,20,0.08,51796,1.1433120470104243,0.004824538458568229,0.5551200864931655,0.0036008898177465444,249.89179399999585
5,-0.08,20,0.05,40905,1.1425836654506794,0.0044093401540154014,0.43965285417430633,0.003604099132135435,180.36405900000062
5,-0.1,10,0.08,24404,1.135579222363079,0.004114097074250123,0.5681855433535486,0.0036028207261104735,100.40042499999943
5,-0.2,10,0.03,3197,1.1319804953536077,0.0038229424460431657,0.34282139505786674,0.003607212073819206,12.221947000000004
15,-0.1,20,0.05,59709,1.124272899149904,0.0036931228792979284,0.46338072987321843,0.003599880503776649,220.5126739999978
