date,nav,n_open
2020-01-20,698238.7497044991,5.0
2020-01-21,697228.5433174991,7.0
2020-01-22,696087.7383644991,5.0
2020-01-23,692490.4105204991,1.0
2020-02-03,690597.2919474992,1.0
2020-02-04,688642.557222499,0.0
2020-02-05,705148.438851499,36.0
2020-02-06,721194.985394499,36.0
2020-02-07,731981.737416499,36.0
2020-02-10,757057.6189289985,36.0
2020-02-11,757133.809413999,36.0
2020-02-12,766197.9691509986,36.0
2020-02-13,757348.6652424989,36.0
2020-02-14,757701.0328714991,35.0
2020-02-17,783372.9406544991,37.0
2020-02-18,796932.931802999,34.0
2020-02-19,795877.833037999,24.0
2020-02-20,808250.688608999,21.0
2020-02-21,807844.150755499,6.0
2020-02-24,808169.1692059989,2.0
2020-02-25,808207.1516379989,3.0
2020-02-26,806405.0197299989,3.0
2020-02-27,805558.5366699989,3.0
2020-02-28,803055.6981179989,2.0
2020-03-02,804433.6719439989,5.0
2020-03-03,804234.5267889987,14.0
2020-03-04,804965.2479139988,15.0
2020-03-05,808254.0023409987,17.0
2020-03-06,807479.8291009987,17.0
2020-03-09,800431.1693829987,16.0
2020-03-10,797063.0673999984,6.0
2020-03-11,786787.0450149985,23.0
2020-03-12,778185.0316029985,18.0
2020-03-13,772574.9669049986,11.0
2020-03-16,721319.7851079989,43.0
2020-03-17,719752.2481569988,14.0
2020-03-18,707332.9874739987,40.0
2020-03-19,725561.9381479989,40.0
2020-03-20,729238.7161014988,40.0
2020-03-23,687019.5589234986,34.0
2020-03-24,697119.3968594987,35.0
2020-03-25,711910.0448224985,39.0
2020-03-26,702312.2374009988,40.0
2020-03-27,693488.7364929988,40.0
2020-03-30,670819.2494829986,31.0
2020-03-31,668459.9528499985,38.0
2020-04-01,664360.0880929987,38.0
2020-04-02,683784.8306979989,38.0
2020-04-03,679409.2774114985,38.0
2020-04-07,703975.2739294987,38.0
2020-04-08,707967.9845134985,36.0
2020-04-09,714598.0505974987,36.0
2020-04-10,701877.8003739987,22.0
2020-04-13,702187.9453674986,15.0
2020-04-14,708953.8583819986,22.0
2020-04-15,707358.4181499988,34.0
2020-04-16,711214.1024859985,32.0
2020-04-17,708861.8533639985,37.0
2020-04-20,715579.1127359985,32.0
2020-04-21,712417.8804164986,30.0
2020-04-22,717174.1342454985,29.0
2020-04-23,706807.4907849985,29.0
2020-04-24,693792.1848039986,26.0
2020-04-27,690279.8668189985,21.0
2020-04-28,678604.3071719985,5.0
2020-04-29,676768.1575869985,6.0
2020-04-30,689962.4281319984,31.0
2020-05-06,706494.4719519984,37.0
2020-05-07,704414.4182939981,37.0
2020-05-08,716639.8280699983,37.0
2020-05-11,719586.7423604984,36.0
2020-05-12,719138.4112964984,35.0
2020-05-13,724508.5850024982,34.0
2020-05-14,710645.7097834984,36.0
2020-05-15,709296.6376254985,37.0
2020-05-18,701374.3732749986,35.0
2020-05-19,703269.4700499984,37.0
2020-05-20,694770.7191154985,38.0
2020-05-21,684435.3674274983,34.0
2020-05-22,677435.9430764983,31.0
2020-05-25,675839.3370834984,25.0
2020-05-26,682027.7847014983,27.0
2020-05-27,680131.7859644984,24.0
2020-05-28,676167.5355254983,20.0
2020-05-29,681130.6771774983,23.0
2020-06-01,697494.9273469985,26.0
2020-06-02,702381.4852114983,19.0
2020-06-03,704412.3778284984,18.0
2020-06-04,702357.5747134984,14.0
2020-06-05,704169.1958604984,15.0
2020-06-08,701940.7065779984,16.0
2020-06-09,702132.3468659983,20.0
2020-06-10,699337.7396669984,20.0
2020-06-11,697889.3070509983,21.0
2020-06-12,695871.4500669984,20.0
2020-06-15,700193.9627429984,21.0
2020-06-16,706110.7969439983,20.0
2020-06-17,707512.1564189984,18.0
2020-06-18,707481.7072404984,18.0
2020-06-19,706110.3444664984,13.0
2020-06-22,706467.0934564983,11.0
2020-06-23,706400.9062784982,11.0
2020-06-24,705018.1830634983,11.0
2020-06-29,706673.7884244983,12.0
2020-06-30,710215.3161064982,16.0
2020-07-01,711075.3064719983,19.0
2020-07-02,714782.4124759984,19.0
2020-07-03,720281.4333679982,18.0
2020-07-06,731374.0753039983,17.0
2020-07-07,734713.5980224982,8.0
2020-07-08,734896.1130274981,7.0
2020-07-09,742748.5387154982,7.0
2020-07-10,742480.0801859981,2.0
2020-07-13,743028.6709319982,2.0
2020-07-14,742689.9038179981,2.0
2020-07-15,741496.2636919982,2.0
2020-07-16,740011.5878139981,2.0
2020-07-17,739579.7587319982,2.0
2020-07-20,740317.5381099982,2.0
2020-07-21,740374.8873079981,4.0
2020-07-22,739422.7346819981,3.0
2020-07-23,738893.3372819982,3.0
2020-07-24,737117.1457179983,4.0
2020-07-27,736400.8849819982,4.0
2020-07-28,737691.9418389981,7.0
2020-07-29,751624.9192969983,24.0
2020-07-30,743130.7927279983,37.0
2020-07-31,753587.7017139985,38.0
2020-08-03,779929.1700389984,41.0
2020-08-04,766856.7321014983,42.0
2020-08-05,772201.8639304985,42.0
2020-08-06,769085.643268498,42.0
2020-08-07,749252.5416274982,39.0
2020-08-10,755407.2795734982,37.0
2020-08-11,743024.3035629983,38.0
2020-08-12,737636.6823479981,29.0
2020-08-13,741098.3749679981,28.0
