code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.605089,2021-07-29,65.0,2021-08-11,79.5,MA,10,0.223077,0.218704,21
sh.605089,2022-02-10,70.55,2022-02-11,64.906,STOP,2,-0.08,-0.083797,36
sh.605089,2022-02-15,66.0,2022-03-07,60.72,STOP,15,-0.08,-0.083895,169
sh.605089,2024-02-07,36.4508,2024-02-27,41.9569,MA,9,0.151054,0.146956,1493
sh.605089,2025-01-08,33.6923,2025-02-11,35.4501,MA,19,0.052174,0.048112,457
sh.605090,2022-03-18,27.1602,2022-04-07,28.6188,MA,13,0.053704,0.049896,38
sh.605090,2026-03-24,60.3799,2026-04-10,62.7655,MA,13,0.039511,0.035296,22
sh.605090,2026-06-02,58.1511,2026-06-18,53.499,STOP,13,-0.08,-0.0841,104
sh.605090,2026-08-04,51.3014,2026-08-11,53.9258,MA,6,0.051156,0.04663,22
sh.605098,2022-04-28,41.2198,2022-05-06,37.9222,STOP,4,-0.08,-0.083593,1476
sh.605099,2025-04-10,19.7666,2025-04-28,21.5498,MA,13,0.090213,0.086566,588
sh.605099,2026-06-23,37.2044,2026-07-17,34.2281,STOP,19,-0.08,-0.083724,32
sh.605100,2022-04-28,25.3738,2022-05-20,27.3388,MA,14,0.077441,0.073511,1476
sh.605100,2024-02-26,26.9107,2024-02-28,28.1537,MA,3,0.046189,0.042381,90
sh.605108,2021-01-13,20.25,2021-02-01,21.73,MA,14,0.073086,0.069242,64
sh.605111,2021-09-23,170.1053,2021-10-08,179.0597,MA,7,0.05264,0.049473,34
sh.605111,2022-04-15,172.6316,2022-04-27,158.8211,STOP,9,-0.08,-0.082959,51
sh.605111,2022-08-30,210.406,2022-09-15,193.5735,STOP,12,-0.08,-0.082868,34
sh.605111,2022-10-13,160.3319,2022-11-02,168.7632,MA,15,0.052586,0.049384,90
sh.605111,2023-05-04,132.5146,2023-05-09,121.9134,STOP,4,-0.08,-0.083135,79
sh.605111,2023-05-11,121.7334,2023-05-26,129.069,MA,12,0.06026,0.056848,76
sh.605111,2024-02-22,87.0,2024-02-28,96.9754,MA,5,0.11466,0.110838,51
sh.605116,2024-02-07,20.0174,2024-02-21,22.4762,MA,5,0.122834,0.118901,1493
sh.605117,2022-04-13,190.3149,2022-04-15,175.0897,STOP,3,-0.08,-0.082905,92
sh.605117,2024-02-02,183.8051,2024-02-05,169.1007,STOP,2,-0.08,-0.082924,433
sh.605117,2024-02-19,185.22,2024-02-22,200.1405,MA,4,0.080556,0.077395,155
sh.605117,2026-07-22,628.6131,2026-08-06,640.3657,MA,12,0.018696,0.015663,144
sh.605118,2022-02-15,14.6234,2022-03-09,13.4535,STOP,17,-0.08,-0.08352,169
sh.605118,2022-04-28,10.7932,2022-05-10,11.8847,MA,6,0.101124,0.097442,1476
sh.605118,2024-01-26,18.9824,2024-01-31,17.4638,STOP,4,-0.08,-0.083434,62
sh.605118,2024-02-02,15.9555,2024-02-05,14.6791,STOP,2,-0.08,-0.083425,433
sh.605118,2025-04-11,17.055,2025-04-30,19.2905,MA,14,0.131077,0.127208,38
sh.605118,2026-06-02,38.3875,2026-06-08,35.3165,STOP,5,-0.08,-0.083683,104
sh.605118,2026-07-30,31.1572,2026-08-07,32.1581,MA,7,0.032123,0.028505,24
sh.605122,2022-03-18,27.8437,2022-03-24,31.1663,MA,5,0.119327,0.115451,38
sh.605122,2022-04-28,22.7322,2022-05-23,25.0466,MA,15,0.101811,0.098059,1476
sh.605122,2024-02-21,13.9665,2024-03-11,15.3218,MA,14,0.097038,0.093369,80
sh.605123,2022-04-19,100.8573,2022-04-25,92.7887,STOP,5,-0.08,-0.083371,104
sh.605123,2024-01-24,69.5589,2024-01-31,63.9942,STOP,6,-0.08,-0.083818,346
sh.605123,2024-02-02,62.1866,2024-02-05,57.2117,STOP,2,-0.08,-0.083988,433
sh.605123,2024-07-10,50.5082,2024-07-29,52.5989,MA,14,0.041393,0.036851,80
sh.605123,2026-07-22,77.7886,2026-08-05,86.5235,MA,11,0.112291,0.108337,144
sh.605128,2022-04-28,22.044,2022-05-12,27.0322,MA,8,0.226284,0.222311,1476
sh.605128,2024-02-07,35.945,2024-02-23,43.6101,MA,7,0.213246,0.209035,1493
sh.605133,2022-02-15,22.7545,2022-03-02,24.3119,MA,12,0.068444,0.064743,169
sh.605133,2022-03-17,19.043,2022-04-08,17.5196,STOP,15,-0.08,-0.08343,199
sh.605133,2022-04-27,13.7538,2022-05-12,17.9204,MA,9,0.302941,0.298948,107
sh.605133,2024-01-24,22.1497,2024-01-31,20.3777,STOP,6,-0.08,-0.083509,346
sh.605133,2024-02-07,17.8956,2024-02-23,20.6669,MA,7,0.154857,0.151007,1493
sh.605136,2020-12-30,26.79,2021-01-13,24.6468,STOP,10,-0.08,-0.083624,37
sh.605136,2022-03-17,16.6871,2022-03-28,18.396,MA,8,0.10241,0.098557,199
sh.605136,2022-04-28,13.7618,2022-05-17,15.5813,MA,11,0.132213,0.128477,1476
sh.605136,2024-02-07,6.8531,2024-02-08,6.3048,STOP,2,-0.08,-0.083422,1493
sh.605136,2024-02-20,7.1993,2024-02-27,8.2074,MA,6,0.140028,0.13625,305
sh.605136,2024-06-11,5.9765,2024-07-04,5.9251,MA,18,-0.008591,-0.012124,194
sh.605136,2025-04-09,6.4279,2025-04-15,7.5181,MA,5,0.1696,0.165808,728
sh.605136,2026-06-24,7.9809,2026-06-26,7.3424,STOP,3,-0.08,-0.083424,43
sh.605138,2024-02-07,5.2062,2024-02-08,4.7897,STOP,2,-0.08,-0.083391,1493
sh.605138,2024-02-20,5.5505,2024-02-28,6.4999,MA,7,0.171053,0.167295,305
sh.605138,2024-04-25,5.9887,2024-05-09,6.646,MA,8,0.109756,0.106048,78
sh.605151,2022-01-07,20.3035,2022-01-21,18.6792,STOP,11,-0.08,-0.083611,23
sh.605151,2024-02-19,14.5072,2024-02-27,16.9408,MA,7,0.167751,0.163851,155
sh.605158,2024-02-02,9.3186,2024-02-05,8.5731,STOP,2,-0.08,-0.083453,433
sh.605158,2026-05-29,10.3666,2026-06-04,9.5373,STOP,5,-0.08,-0.083452,51
sh.605162,2024-02-20,6.335,2024-03-08,7.0002,MA,14,0.105,0.10129,305
sh.605162,2026-06-30,8.6098,2026-07-21,7.921,STOP,16,-0.08,-0.083436,102
sh.605166,2021-01-13,8.82,2021-01-27,9.02,MA,11,0.022676,0.019111,64
sh.605166,2024-02-07,7.5752,2024-02-22,8.6994,MA,6,0.148405,0.144667,1493
sh.605166,2025-04-10,11.5009,2025-04-28,12.0619,MA,13,0.04878,0.04512,588
sh.605167,2021-10-08,9.0736,2021-10-25,8.3477,STOP,12,-0.08,-0.083382,79
sh.605167,2022-02-10,9.7607,2022-02-17,10.0436,MA,6,0.028986,0.025418,36
sh.605167,2024-01-26,9.6104,2024-01-30,8.8416,STOP,3,-0.08,-0.083421,62
