code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,score,ret5,shrink,gap,density,priority
sz.002041,2019-06-24,107.5503,2019-06-24,112.9278,TP,1,0.05,0.046913,0.1793,-0.1245,0.7383,-0.0068,7,0.1793
sz.002093,2019-06-24,118.037,2019-06-28,114.4959,SL,5,-0.03,-0.032948,0.149,-0.0563,0.7119,0.0,7,0.149
sz.002044,2019-06-24,81.7729,2019-06-25,79.3197,SL,2,-0.03,-0.032948,0.1407,-0.0404,0.7089,0.0076,7,0.1407
sz.002838,2019-06-24,55.1685,2019-07-01,55.8496,TIME,6,0.012346,0.009324,0.1032,0.0125,0.7233,0.0,7,0.1032
sz.000498,2019-06-24,11.1938,2019-07-01,11.1115,TIME,6,-0.007353,-0.01034,0.0879,0.0489,0.7068,-0.0127,7,0.0879
sh.603899,2019-06-24,88.6703,2019-06-26,93.1038,TP,3,0.05,0.046913,0.0805,0.0422,0.7355,-0.0014,7,0.0805
sh.603326,2019-08-07,17.4434,2019-08-14,18.3155,TP,6,0.05,0.046913,0.2065,-0.1118,0.6515,0.0099,2,0.2065
sz.002020,2019-08-07,80.6703,2019-08-08,78.2502,SL,2,-0.03,-0.032947,0.1846,-0.1273,0.7294,0.0084,2,0.1846
sz.002867,2019-08-20,34.9046,2019-08-22,33.8575,SL,3,-0.03,-0.032947,0.1358,-0.0474,0.7316,-0.0068,3,0.1358
sz.002345,2019-08-20,29.5985,2019-08-27,30.1271,TIME,6,0.017857,0.014826,0.117,-0.0044,0.7141,-0.011,3,0.117
sh.603848,2019-08-20,16.5616,2019-08-20,16.0648,SL,1,-0.03,-0.032948,0.1043,0.0069,0.7289,0.005,3,0.1043
sz.002347,2019-09-06,17.9868,2019-09-10,18.8862,TP,3,0.05,0.046913,0.1406,0.0236,0.6132,0.0021,4,0.1406
sz.000692,2019-09-06,26.2614,2019-09-16,26.5303,TIME,6,0.010239,0.007221,0.1342,-0.0518,0.7422,0.0,4,0.1342
