code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,vol_ratio,density,mc
sz.000612,2020-02-05,25.58,2020-02-19,29.458,MA,11,0.151603,0.148338,3.1165,525,133.30375842790002
sz.000612,2024-02-07,33.516,2024-02-26,37.3863,MA,8,0.115473,0.112271,1.7368,986,133.30375842790002
sz.000620,2020-02-05,3.6386,2020-03-05,4.0155,MA,22,0.10356,0.100379,5.1651,525,131.1381279154647
sz.000629,2020-02-05,15.0534,2020-02-18,17.3485,MA,10,0.152466,0.1492,2.3615,525,286.2927713133988
sz.000680,2025-04-09,35.0004,2025-04-22,41.1073,MA,10,0.174479,0.171174,1.5822,136,142.02363139645894
sz.000688,2025-04-10,40.7412,2025-04-24,44.5411,MA,11,0.093269,0.090106,1.7569,463,372.71363688485303
sz.000700,2024-02-07,57.7068,2024-02-22,69.5764,MA,6,0.205689,0.202329,2.0577,986,103.80314583949821
sz.000711,2020-02-05,28.7368,2020-02-21,33.3888,MA,13,0.16188,0.158597,2.5803,525,135.31815625946098
sz.000723,2020-02-05,41.1503,2020-02-18,50.7086,MA,10,0.232278,0.228871,1.9601,525,157.84441325135685
sz.000727,2018-10-22,5.2505,2018-11-05,6.1042,MA,11,0.162602,0.159317,2.7535,282,101.7533508859533
sz.000727,2020-02-05,7.1287,2020-02-19,8.1105,MA,11,0.137725,0.134484,2.2126,525,101.7533508859533
sz.000727,2025-04-10,10.2022,2025-05-07,10.5437,MA,17,0.033473,0.030414,1.7036,463,101.7533508859533
sz.000737,2024-02-07,11.8498,2024-02-23,13.9235,MA,7,0.175,0.171694,1.8788,986,270.93030972212625
sz.000762,2022-04-28,122.7255,2022-05-06,136.8595,MA,4,0.115168,0.111966,1.8349,837,121.7229273341467
sz.000801,2025-04-09,148.9449,2025-04-23,169.1446,MA,11,0.135618,0.132381,1.5571,136,116.67658963487473
sz.000810,2025-04-10,62.4482,2025-05-07,66.7239,MA,17,0.068468,0.065349,1.707,463,106.63479889199085
sz.000811,2024-02-07,120.1272,2024-02-23,137.5141,MA,7,0.144737,0.141484,1.6072,986,402.08248288506775
sz.000815,2018-06-21,22.5836,2018-06-26,20.7769,STOP,4,-0.08,-0.08286,3.815,348,124.94493617103836
sz.000815,2024-02-07,16.3698,2024-02-23,23.158,MA,7,0.414673,0.410947,2.9687,986,124.94493617103836
sz.000830,2020-02-05,39.0428,2020-02-18,44.1908,MA,10,0.131855,0.128625,2.0881,525,238.8537844676252
sz.000837,2020-02-05,10.5125,2020-02-20,12.2131,MA,12,0.161765,0.158482,2.2506,525,101.0604316364312
sz.000878,2020-02-05,22.3388,2020-02-20,25.4319,MA,12,0.138462,0.135219,2.1442,525,327.7703302726354
sz.000887,2025-04-10,110.7497,2025-04-30,120.0074,MA,15,0.083591,0.080445,1.9253,463,263.4080960294104
sz.000901,2018-06-21,40.6141,2018-07-04,47.1661,MA,10,0.161324,0.158041,1.5365,348,117.20402145138591
sz.000902,2020-02-05,17.1337,2020-02-18,20.1215,MA,10,0.174383,0.171078,3.1489,525,155.7593681004131
sz.000921,2018-10-22,7.7715,2018-11-07,8.0793,MA,13,0.039604,0.036535,1.5138,282,246.29136386137674
sz.000921,2020-02-05,11.4823,2020-03-06,12.1577,MA,23,0.058824,0.055721,2.002,525,246.29136386137674
sz.000927,2020-02-05,4.3441,2020-02-21,4.9397,MA,13,0.137097,0.133857,1.6467,525,148.69339566291217
sz.000935,2020-02-05,23.3952,2020-02-21,26.8562,MA,13,0.147939,0.14468,1.9748,525,173.0490821007428
sz.000949,2017-04-20,17.524,2017-05-11,16.1221,STOP,15,-0.08,-0.08286,1.6765,73,107.3614571143042
sz.000949,2024-02-07,8.5908,2024-02-27,10.0531,MA,9,0.170213,0.166915,1.645,986,107.3614571143042
sz.000951,2020-02-05,43.5912,2020-02-14,49.1965,MA,8,0.128588,0.125363,2.3601,525,252.33254348596554
sz.000958,2020-02-05,14.3162,2020-02-21,16.3521,MA,13,0.142212,0.138963,2.9241,525,293.05358139051083
sz.000962,2020-02-05,14.5508,2020-02-18,17.1599,MA,10,0.17931,0.175997,2.0519,525,264.0884132672533
sz.000973,2018-06-21,9.9214,2018-07-02,10.8968,MA,8,0.098315,0.095143,1.5218,348,134.61001454441657
sz.000973,2024-02-07,9.6939,2024-02-27,11.3623,MA,9,0.172107,0.168806,1.875,986,134.61001454441657
sz.000981,2025-04-09,11.2393,2025-05-07,12.9319,MA,18,0.150602,0.147339,1.9986,136,263.86929113410605
