date,nav,q,n_pos
2011-02-28,104151.37816565,0.7111913357400722,0
2011-03-01,104151.37816565,0.7410071942446043,0
2011-03-02,104151.37816565,0.7132616487455197,0
2011-03-03,104151.37816565,0.6714285714285714,0
2011-03-04,104151.37816565,0.7615658362989324,0
2011-03-07,104151.37816565,0.8297872340425532,0
2011-03-08,104151.37816565,0.833922261484099,0
2011-03-09,104151.37816565,0.8345070422535211,0
2011-03-10,104151.37816565,0.775438596491228,0
2011-03-11,104151.37816565,0.7097902097902098,0
2011-03-14,104151.37816565,0.7421602787456446,0
2011-03-15,104151.37816565,0.6145833333333334,0
2011-03-16,104151.37816565,0.71280276816609,0
2011-03-17,104151.37816565,0.593103448275862,0
2011-03-18,104151.37816565,0.6357388316151202,0
2011-03-21,104151.37816565,0.6232876712328768,0
2011-03-22,104151.37816565,0.658703071672355,0
2011-03-23,104151.37816565,0.7482993197278912,0
2011-03-24,104151.37816565,0.7288135593220338,0
2011-03-25,104151.37816565,0.8006756756756757,0
2011-03-28,104151.37816565,0.7878787878787878,0
2011-03-29,104151.37816565,0.7315436241610739,0
2011-03-30,104151.37816565,0.725752508361204,0
2011-03-31,104151.37816565,0.6466666666666666,0
2011-04-01,104151.37816565,0.7574750830564784,0
2011-04-06,104151.37816565,0.8145695364238411,0
2011-04-07,104151.37816565,0.8217821782178217,0
2011-04-08,104151.37816565,0.8552631578947368,0
2011-04-11,104151.37816565,0.8295081967213115,0
2011-04-12,104151.37816565,0.8202614379084967,0
2011-04-13,104151.37816565,0.8697068403908795,0
2011-04-14,104151.37816565,0.8538961038961039,0
2011-04-15,104151.37816565,0.86084142394822,0
2011-04-18,104151.37816565,0.8612903225806452,0
2011-04-19,104151.37816565,0.7813504823151125,0
2011-04-20,104151.37816565,0.7788461538461539,0
2011-04-21,104151.37816565,0.8019169329073482,0
2011-04-22,104151.37816565,0.7802547770700637,0
2011-04-25,104151.37816565,0.6793650793650794,0
2011-04-26,104151.37816565,0.6360759493670886,0
2011-04-27,104151.37816565,0.5772870662460567,0
2011-04-28,104151.37816565,0.46226415094339623,0
2011-04-29,104151.37816565,0.5391849529780565,0
2011-05-03,104151.37816565,0.58125,0
2011-05-04,104151.37816565,0.4174454828660436,0
2011-05-05,104151.37816565,0.41304347826086957,0
2011-05-06,104151.37816565,0.4055727554179567,0
2011-05-09,104151.37816565,0.4228395061728395,0
2011-05-10,104151.37816565,0.4553846153846154,0
2011-05-11,104151.37816565,0.4386503067484663,0
2011-05-12,104151.37816565,0.382262996941896,0
2011-05-13,104151.37816565,0.4146341463414634,0
2011-05-16,104151.37816565,0.3799392097264438,0
2011-05-17,104151.37816565,0.4,0
2011-05-18,104151.37816565,0.4380664652567976,0
2011-05-19,104151.37816565,0.4006024096385542,0
2011-05-20,104151.37816565,0.4084084084084084,0
2011-05-23,104151.37816565,0.3263473053892216,0
2011-05-24,104151.37816565,0.3283582089552239,0
2011-05-25,104151.37816565,0.32142857142857145,0
2011-05-26,104151.37816565,0.3086053412462908,0
2011-05-27,104151.37816565,0.2958579881656805,0
2011-05-30,104151.37816565,0.2890855457227139,0
2011-05-31,104151.37816565,0.32941176470588235,0
2011-06-01,104151.37816565,0.3313782991202346,0
2011-06-02,104151.37816565,0.29239766081871343,0
2011-06-03,104151.37816565,0.32653061224489793,0
2011-06-07,104151.37816565,0.3372093023255814,0
2011-06-08,104151.37816565,0.3391304347826087,0
2011-06-09,104151.37816565,0.28034682080924855,0
2011-06-10,104151.37816565,0.29394812680115273,0
2011-06-13,104151.37816565,0.27873563218390807,0
2011-06-14,104151.37816565,0.335243553008596,0
2011-06-15,104151.37816565,0.3,0
2011-06-16,104151.37816565,0.245014245014245,0
2011-06-17,104151.37816565,0.2159090909090909,0
2011-06-20,104151.37816565,0.20113314447592068,0
2011-06-21,104151.37816565,0.23728813559322035,0
2011-06-22,104151.37816565,0.23661971830985915,0
2011-06-23,104151.37816565,0.30337078651685395,0
2011-06-24,104151.37816565,0.37254901960784315,0
2011-06-27,104151.37816565,0.3770949720670391,0
2011-06-28,104151.37816565,0.38440111420612816,0
2011-06-29,104151.37816565,0.3472222222222222,0
2011-06-30,104151.37816565,0.3878116343490305,0
2011-07-01,104151.37816565,0.39779005524861877,0
2011-07-04,104151.37816565,0.4573002754820937,0
2011-07-05,104151.37816565,0.45879120879120877,0
2011-07-06,104151.37816565,0.4410958904109589,0
2011-07-07,104151.37816565,0.4262295081967213,0
2011-07-08,104151.37816565,0.44141689373297005,0
2011-07-11,104151.37816565,0.4429347826086957,0
2011-07-12,104151.37816565,0.39295392953929537,0
2011-07-13,104151.37816565,0.43243243243243246,0
2011-07-14,104151.37816565,0.4501347708894879,0
2011-07-15,104151.37816565,0.4838709677419355,0
2011-07-18,104151.37816565,0.4691689008042895,0
2011-07-19,104151.37816565,0.4090909090909091,0
2011-07-20,104151.37816565,0.4053333333333333,0
2011-07-21,104151.37816565,0.3882978723404255,0
2011-07-22,104151.37816565,0.4005305039787798,0
2011-07-25,104151.37816565,0.30158730158730157,0
