panic_threshold,min_mc,max_mc,trades,panic_days,win_rate,pf,avg_ret,total_ret,cagr,mdd,sharpe,fund_rate,max_open,final_nav
40,80,800,2972,86,0.7096231493943472,3.1759472760513865,0.050403305181695834,1.1605384983525058,0.08018333050024151,0.12365975489890636,1.0974181552625584,0.6174293405114402,107,2160538.4983525057
60,100,300,1428,46,0.7850140056022409,4.797478529549178,0.06571872198879553,1.1475980151975018,0.07953380740530913,0.07498094132992528,1.2816961050331797,0.7598039215686274,111,2147598.015197502
70,50,300,3158,39,0.7840405319822673,5.109730881746839,0.07078849683343888,1.135282320855,0.07891236517273237,0.1748654782135735,1.0542469955987634,0.474034198860038,112,2135282.320855
70,80,500,2043,39,0.7797356828193832,4.838259208458876,0.06711543416544297,1.127715487945001,0.07852894595964566,0.1103578149401398,1.2137339183462685,0.5996084189916789,105,2127715.487945001
70,100,500,1568,39,0.7844387755102041,4.8621434533938,0.06671240242346939,1.1262806383100026,0.07845610228475097,0.08728009594742234,1.2587929882042215,0.6919642857142857,109,2126280.6383100026
70,50,500,3375,39,0.7828148148148149,5.0717659914604,0.07040794962962964,1.123572862325,0.07831851478155638,0.18574824659882713,1.0256550021363784,0.4571851851851852,114,2123572.862325
70,80,300,1826,39,0.7814895947426068,4.8741356013385895,0.0673822973713034,1.121842300137501,0.07823049874753751,0.09895967117241253,1.246336156989147,0.6385542168674698,105,2121842.300137501
40,100,300,1835,86,0.7226158038147139,3.3589829178842785,0.05259314877384196,1.118418278835005,0.07805616322149089,0.08073316357437409,1.198266744206001,0.7564032697547683,111,2118418.278835005
70,100,800,1698,39,0.7767962308598351,4.626893697856086,0.06458252826855124,1.1134041404525021,0.07780040809911104,0.0932796290320087,1.2364003311395244,0.6590106007067138,107,2113404.1404525023
70,80,800,2173,39,0.7740450989415555,4.657224257458775,0.06542702162908422,1.1097972444775008,0.0776160940123285,0.11675859379535386,1.1852920921629255,0.5789231477220432,103,2109797.2444775007
70,50,800,3505,39,0.7791726105563481,4.945390905456494,0.06923906305278174,1.1054385925825003,0.07739298610635403,0.19133466594212828,1.0008165665752335,0.4473609129814551,114,2105438.5925825005
50,120,500,1423,63,0.7547434996486296,4.018587487007884,0.05895034504567814,1.1042449100174991,0.07733181214258722,0.06736839976109187,1.2841213544975316,0.7737174982431483,93,2104244.9100174992
40,100,500,2133,86,0.7191748710736052,3.289454949039251,0.05165503891233005,1.102534985025005,0.07724412730645369,0.09381333116381456,1.1426512076981816,0.7018284106891702,109,2102534.985025005
50,120,800,1585,63,0.7438485804416404,3.775066103508388,0.05622886561514195,1.0992378692149996,0.07707487011691239,0.07318486506767856,1.2512277997737957,0.7337539432176656,102,2099237.8692149995
40,100,800,2333,86,0.7093870552936133,3.107205123686049,0.049070037719674234,1.0916501007325055,0.07668444203002944,0.09964148237792853,1.1091226195459336,0.6763823403343335,108,2091650.1007325056
40,50,300,4208,86,0.7202946768060836,3.5088230702519985,0.05594095698669202,1.0853472538700015,0.07635915922885217,0.1911531405892937,0.8992859174534853,0.5244771863117871,112,2085347.2538700015
70,100,300,1351,39,0.7875647668393783,4.915520476919661,0.06700835677276092,1.0832362691400026,0.07625001589813274,0.07662032259019279,1.258500864812005,0.7505551443375278,107,2083236.2691400028
60,120,800,1394,46,0.7690100430416069,4.310063347554042,0.06095878909612625,1.0741268467049983,0.07577789104203903,0.07362848608394795,1.2614489047635762,0.7589670014347202,102,2074126.8467049983
60,120,500,1249,46,0.7798238590872698,4.6064822895012325,0.06379441553242594,1.0717099774049994,0.07565231590345523,0.06788080738005194,1.2855036083670899,0.8014411529223379,93,2071709.9774049993
40,50,500,4506,86,0.7188193519751442,3.465009993149333,0.05527548091433644,1.0479306435625024,0.07440971543741814,0.20087261588921734,0.8497600600459128,0.5051043053706169,110,2047930.6435625025
80,80,300,1656,31,0.785024154589372,5.13574928400307,0.07036530615942028,1.0383443530900012,0.07390510398591443,0.1003265970952117,1.2112074268913742,0.6153381642512077,104,2038344.3530900013
40,50,800,4706,86,0.7139821504462388,3.362532712028652,0.053840101359966,1.032471077525,0.07359488538895342,0.20013690613212676,0.8311425349444961,0.4932001699957501,109,2032471.0775249999
80,100,500,1407,31,0.7846481876332623,5.01516754810683,0.06897118692253021,1.0270774332525026,0.07330928889421129,0.08881376610026455,1.2096457304782633,0.6723525230987918,107,2027077.4332525025
50,120,300,1172,63,0.7585324232081911,4.080718148249027,0.059360841296928334,1.0226860561349986,0.07307625753275637,0.05689247821757675,1.3039131510852031,0.8344709897610921,88,2022686.0561349988
70,120,800,1316,39,0.770516717325228,4.3886261923677266,0.06218207598784195,1.021628486352499,0.07302006886639267,0.07514607633811626,1.2371059083112592,0.7537993920972644,102,2021628.4863524989
70,120,500,1186,39,0.7799325463743676,4.656314157694332,0.06473484485666105,1.0198088194124995,0.0729233280506214,0.06918788585432403,1.2610098432887844,0.7959527824620574,93,2019808.8194124994
80,80,500,1853,31,0.7819751753912574,5.053336333988609,0.06975941014570966,1.0175894810150012,0.07280523287633422,0.11275369111680698,1.1666740948855496,0.572584997301673,102,2017589.4810150012
50,150,800,1225,62,0.7420408163265306,3.755019647772636,0.05541855836734694,1.0099184320775003,0.07239613960916391,0.05730833978556443,1.26279439345856,0.8163265306122449,89,2009918.4320775005
40,120,500,1656,85,0.7095410628019324,3.068500941699439,0.04842914553140097,1.0049489323650014,0.07213036805220052,0.07397194161814352,1.1596305549269765,0.7783816425120773,93,2004948.9323650014
80,80,800,1963,31,0.7753438614365766,4.834233387018963,0.06793945134997452,1.0048143627500017,0.07212316295568288,0.11858545039469837,1.1474781116027473,0.5506877228731534,101,2004814.3627500017
80,50,300,2895,31,0.7865284974093264,5.349544905018177,0.07384536994818654,0.9973393776324997,0.07172225384425968,0.17639545632121467,1.0081265803261528,0.4379965457685665,95,1997339.3776324997
80,100,800,1517,31,0.7758734344100198,4.73762244466619,0.06667331311799604,0.9945750156125006,0.07157364957181045,0.09548123631627074,1.1724912199343254,0.6361239288068556,104,1994575.0156125007
50,150,500,1063,62,0.7563499529633114,4.083862706279724,0.05893821542803387,0.9911243989025005,0.07138789391075906,0.052725380747561466,1.3119539225376555,0.8598306679209784,86,1991124.3989025005
80,50,500,3092,31,0.7846054333764554,5.284803637555665,0.07326053880983183,0.9895781303,0.07130456024824494,0.18793371775602635,0.9804590470907832,0.4220569210866753,95,1989578.1303
40,120,800,1856,85,0.6982758620689655,2.878821772150288,0.0455274057112069,0.9854013883225017,0.07107916976924233,0.08054712372285264,1.1108047063345385,0.7424568965517241,102,1985401.3883225017
60,150,800,1072,46,0.7686567164179104,4.330320507551182,0.060582167910447765,0.9849106544675004,0.0710526601816881,0.05797544768862039,1.2934398699790874,0.8395522388059702,88,1984910.6544675003
80,100,300,1210,31,0.7892561983471075,5.121760263719999,0.0696720826446281,0.9794074751100021,0.07075497219986016,0.07848213486758639,1.204623295116949,0.7272727272727273,104,1979407.475110002
60,120,300,1027,46,0.7818889970788705,4.596184565112406,0.06348121908471276,0.975744372579999,0.07055640786016881,0.05782775531079409,1.2847564531704943,0.8588120740019474,87,1975744.372579999
80,50,800,3202,31,0.7804497189256715,5.136118997245929,0.07202452904434728,0.9747818391274992,0.0705041772325401,0.19314337276395804,0.9606473338924649,0.4131792629606496,94,1974781.8391274991
60,150,500,927,46,0.7831715210355987,4.7461840230664425,0.06434385868392664,0.9678995089750007,0.07013004758881736,0.0550724750168901,1.3370525758291685,0.8856526429341963,86,1967899.5089750006
40,120,300,1358,85,0.7120765832106039,3.108126858184443,0.04898887702503681,0.9629706357974999,0.0698613853673622,0.06202370782049099,1.2058595565772137,0.8379970544918999,86,1962970.6357975
70,150,800,1015,39,0.7694581280788177,4.3930717158402235,0.06175969852216749,0.944710429075001,0.06886074166515255,0.05919823405352369,1.280543649269549,0.8295566502463054,86,1944710.429075001
70,150,500,885,39,0.7819209039548023,4.760793960073072,0.06511865310734463,0.9327327767500011,0.06819977456881765,0.05339021293292075,1.3225090997303601,0.8790960451977401,86,1932732.7767500011
40,150,800,1453,84,0.6916724019270475,2.774454550344322,0.04357049070887818,0.9291819385850011,0.06800311901525746,0.06334373295461634,1.1328782124730616,0.8210598761183757,86,1929181.938585001
40,150,500,1253,84,0.7055067837190743,3.0019989888174825,0.04709315482841181,0.9201979413175014,0.06750410119036854,0.057509870346794424,1.1925421150041149,0.8611332801276935,86,1920197.9413175015
70,120,300,969,39,0.7832817337461301,4.680860704279304,0.06470461197110423,0.9195844551500001,0.06746994840247678,0.05916346861055318,1.2569652144447248,0.8503611971104231,85,1919584.45515
80,120,800,1168,31,0.7671232876712328,4.429528507524619,0.06375572773972603,0.9024392360649984,0.06651147828268478,0.07771678497931715,1.1649173297754114,0.7345890410958904,102,1902439.2360649984
80,120,500,1058,31,0.777882797731569,4.738590232788504,0.0665082551984877,0.8995912420399985,0.0663515144084017,0.07172107235644683,1.1901831731562253,0.774102079395085,93,1899591.2420399985
80,150,800,898,31,0.7639198218262806,4.383041967899105,0.06294114922048998,0.8351325406900003,0.06267207522565954,0.06148686714134422,1.2130306222322171,0.8095768374164811,84,1835132.5406900004
80,150,500,788,31,0.7779187817258884,4.794366378652027,0.06652309137055838,0.8294695782875017,0.06234328820763513,0.055493776551553756,1.2498656557470427,0.8604060913705583,83,1829469.5782875016
80,120,300,861,31,0.7828106852497096,4.814883797845593,0.06692972590011614,0.8185103911249985,0.06170439709066611,0.06118004832814346,1.190998332987295,0.8281068524970964,82,1818510.3911249985
50,150,300,812,62,0.7623152709359606,4.199226084131182,0.059526955665024625,0.7957621035624995,0.060367096917880225,0.05237628850437694,1.3037423215580968,0.896551724137931,75,1795762.1035624996
60,150,300,705,46,0.7872340425531915,4.776887172685832,0.06406062978723405,0.75914708246,0.05818225528475174,0.05344948892654821,1.2939985377671752,0.924822695035461,74,1759147.08246
40,150,300,955,84,0.7078534031413612,3.0366229077098805,0.04747220209424084,0.7461438249950008,0.05739648670845443,0.052191299389461335,1.1987485364330208,0.8952879581151832,73,1746143.8249950008
70,150,300,668,39,0.7874251497005988,4.834063805151487,0.06519947754491018,0.726587302950001,0.05620474138998999,0.05076380684702642,1.269276101827168,0.9191616766467066,72,1726587.3029500009
80,150,300,591,31,0.7851099830795262,4.928998528542329,0.06714205752961082,0.6542548764125009,0.05168870120944957,0.05179304827286262,1.1896331844072745,0.9120135363790186,70,1654254.8764125009
