code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,vol_ratio,density,mc
sh.603859,2019-05-08,20.7383,2019-05-17,19.0792,STOP,8,-0.08,-0.08286,,200,101.05475632292573
sh.603859,2022-04-28,22.6872,2022-05-13,25.8573,MA,9,0.139732,0.136488,,837,101.05475632292573
sh.603859,2025-04-09,38.9286,2025-04-28,45.3865,MA,14,0.165891,0.162601,,136,101.05475632292573
sh.603868,2018-02-09,59.6392,2018-03-08,64.4523,MA,15,0.080704,0.077563,,234,134.41824089410557
sh.603876,2019-05-09,15.8537,2019-05-29,16.1648,MA,15,0.01962,0.016586,,144,203.88473412611123
sh.603876,2020-02-05,13.1279,2020-02-19,15.8747,MA,11,0.209231,0.205865,,525,203.88473412611123
sh.603876,2020-04-02,13.239,2020-04-15,14.0166,MA,9,0.058734,0.055631,,63,203.88473412611123
sh.603876,2022-04-28,26.0774,2022-05-11,29.0855,MA,7,0.115355,0.112153,,837,203.88473412611123
sh.603876,2024-02-07,15.6234,2024-02-27,17.7881,MA,9,0.138554,0.135312,,986,203.88473412611123
sh.603881,2018-02-09,30.8536,2018-02-28,35.7073,MA,9,0.157314,0.154039,,234,226.0970642804608
sh.603881,2018-10-18,24.0852,2018-10-25,22.1584,STOP,6,-0.08,-0.08286,,78,226.0970642804608
sh.603881,2021-02-10,50.3528,2021-03-01,53.5968,MA,9,0.064426,0.061313,,65,226.0970642804608
sh.603881,2022-04-28,32.2145,2022-05-18,36.5141,MA,12,0.133467,0.130234,,837,226.0970642804608
sh.603882,2017-12-07,28.18,2017-12-25,29.87,MA,13,0.059972,0.056867,,156,133.44682210417744
sh.603888,2019-05-06,59.1896,2019-05-07,54.4545,STOP,2,-0.08,-0.08286,,87,123.21826998131826
sh.603906,2025-04-09,18.3677,2025-05-06,20.4669,MA,17,0.114286,0.111086,,136,109.8836561301691
sh.603920,2018-06-21,12.8,2018-07-16,12.75,MA,18,-0.003906,-0.006899,,348,263.2205154333963
sh.603920,2020-04-02,19.8405,2020-04-15,22.831,MA,9,0.150729,0.147466,,63,263.2205154333963
sh.603920,2022-04-28,18.8957,2022-05-06,20.6188,MA,4,0.091193,0.088033,,837,263.2205154333963
sh.603920,2024-02-07,20.0996,2024-02-20,23.0744,MA,4,0.148003,0.144744,,986,263.2205154333963
sh.603920,2025-04-10,40.2635,2025-05-06,43.2316,MA,16,0.073718,0.070589,,463,263.2205154333963
sh.603929,2018-06-21,19.9468,2018-07-04,21.4734,MA,10,0.076531,0.073397,,348,348.09067489465167
sh.603929,2019-05-08,15.2247,2019-05-13,18.1659,MA,4,0.193182,0.189844,,200,348.09067489465167
sh.603929,2024-02-02,18.5668,2024-02-05,17.0814,STOP,2,-0.08,-0.08286,,171,348.09067489465167
sh.603929,2024-02-07,16.4207,2024-02-26,19.8241,MA,8,0.207261,0.203898,,986,348.09067489465167
sh.603938,2018-02-09,25.6,2018-02-28,28.85,MA,9,0.126953,0.123731,,234,162.66677168827948
sh.603938,2018-06-21,23.8692,2018-06-29,26.3648,MA,7,0.104553,0.10137,,348,162.66677168827948
sh.603938,2019-05-08,18.0428,2019-05-31,19.5978,MA,18,0.086186,0.083035,,200,162.66677168827948
sh.603938,2024-02-07,32.2024,2024-02-26,37.3802,MA,8,0.160788,0.157506,,986,162.66677168827948
sh.603939,2018-08-08,106.3412,2018-08-14,117.8392,MA,5,0.108124,0.104934,,85,287.79306756842016
sh.603950,2024-02-07,19.0924,2024-02-08,17.565,STOP,2,-0.08,-0.08286,,986,187.89841094616912
sh.603950,2024-06-11,19.9828,2024-06-24,18.3842,STOP,10,-0.08,-0.08286,,145,187.89841094616912
sh.603979,2025-04-10,58.4935,2025-04-24,62.8294,MA,11,0.074126,0.070996,,463,468.31695347930474
sh.603989,2018-07-09,41.9393,2018-07-16,46.0,MA,6,0.096824,0.093654,,70,112.98196549191854
sh.603989,2024-02-07,34.5331,2024-02-23,38.8784,MA,7,0.125828,0.122608,,986,112.98196549191854
sh.603991,2017-04-27,42.52,2017-05-11,39.1184,STOP,10,-0.08,-0.08286,,62,118.02057114592567
sh.603991,2017-12-07,27.35,2018-01-02,28.2,MA,18,0.031079,0.028024,,156,118.02057114592567
sh.603991,2018-02-08,21.45,2018-03-06,23.12,MA,14,0.077855,0.074719,,68,118.02057114592567
sh.603991,2019-05-15,18.9136,2019-05-29,19.5162,MA,11,0.031864,0.028808,,86,118.02057114592567
sh.603991,2024-02-20,35.3159,2024-02-26,37.0473,MA,5,0.049025,0.045939,,226,118.02057114592567
sh.603991,2024-04-18,28.1474,2024-05-10,25.8956,STOP,14,-0.08,-0.08286,,100,118.02057114592567
sh.603991,2025-04-10,47.0812,2025-04-22,52.336,MA,9,0.111613,0.108418,,463,118.02057114592567
sh.603992,2020-02-05,15.14,2020-02-24,17.11,MA,14,0.130119,0.126891,,525,101.62665309829418
sh.603992,2024-02-07,14.1714,2024-02-21,18.2265,MA,5,0.28614,0.282639,,986,101.62665309829418
sh.603992,2025-04-10,20.2988,2025-04-22,23.5553,MA,9,0.160428,0.157147,,463,101.62665309829418
sh.603992,2026-07-15,27.1631,2026-07-17,24.99,STOP,3,-0.08,-0.08286,,84,101.62665309829418
sh.603992,2026-07-22,25.7621,2026-07-27,23.7011,STOP,4,-0.08,-0.08286,,84,101.62665309829418
sh.603997,2026-06-30,20.0334,2026-07-16,21.4926,MA,13,0.072836,0.069709,,83,159.94647864826482
sh.605020,2022-04-28,18.99,2022-05-17,21.0,MA,11,0.105845,0.10266,,837,170.2068053424479
sh.605020,2026-07-24,49.3277,2026-08-06,50.756,MA,10,0.028955,0.025905,,72,170.2068053424479
sh.605060,2024-02-07,14.2252,2024-02-20,16.2588,MA,4,0.142963,0.139713,,986,100.56322190396797
sh.605060,2025-04-10,17.3127,2025-05-06,19.1175,MA,16,0.104245,0.101062,,463,100.56322190396797
sh.605099,2025-04-10,19.7666,2025-04-28,21.5498,MA,13,0.090213,0.087055,,463,131.9903584580361
sh.605118,2022-02-15,14.6234,2022-03-09,13.4535,STOP,17,-0.08,-0.08286,,73,119.00808426813185
sh.605118,2022-04-28,10.7932,2022-05-10,11.8847,MA,6,0.101124,0.097947,,837,119.00808426813185
sh.605118,2024-02-02,15.9555,2024-02-05,14.6791,STOP,2,-0.08,-0.08286,,171,119.00808426813185
sh.605196,2022-04-28,7.23,2022-05-24,7.3,MA,16,0.009682,0.006665,,837,174.52739469090636
sh.605198,2024-02-07,17.9812,2024-02-08,16.5427,STOP,2,-0.08,-0.08286,,986,172.85916409193047
sh.605198,2026-07-15,59.4668,2026-07-17,53.481,STOP,3,-0.100657,-0.103481,,84,172.85916409193047
sh.605289,2024-04-18,34.0085,2024-04-26,38.9108,MA,7,0.144148,0.140895,,100,158.05869463501307
sh.605289,2025-04-10,26.8686,2025-04-22,29.7492,MA,9,0.107212,0.104024,,463,158.05869463501307
sh.605358,2024-02-07,29.1967,2024-02-23,33.8114,MA,7,0.158058,0.154781,,986,340.00707139780263
sh.605376,2024-01-24,21.9799,2024-02-01,20.2215,STOP,7,-0.08,-0.08286,,148,405.8153244834541
sh.605376,2024-02-07,16.8262,2024-02-26,20.8799,MA,8,0.24092,0.237498,,986,405.8153244834541
sh.605389,2022-04-28,32.1647,2022-05-23,35.3711,MA,15,0.099687,0.096513,,837,127.6027866267614
sh.605389,2026-07-28,144.279,2026-07-30,132.7366,STOP,3,-0.08,-0.08286,,79,127.6027866267614
sh.605507,2022-04-28,22.6849,2022-05-23,23.9978,MA,15,0.057873,0.054772,,837,123.47913357008758
sh.605589,2022-04-28,21.4155,2022-05-19,23.0272,MA,13,0.075259,0.072127,,837,330.67654499609125
sh.605589,2024-02-02,17.8909,2024-02-05,16.4596,STOP,2,-0.08,-0.08286,,171,330.67654499609125
