entry_date,code,shares,cost,entry_price,exit_date,exit_price,reason,ret,bars,mc
2024-02-07,sz.000700,300,17312.04,57.7068,2024-02-22,69.5764,MA,0.202329,6,103.8031458394982
2024-02-07,sz.002276,600,17243.22,28.7387,2024-02-22,32.2687,MA,0.119615,6,103.89886064808977
2024-02-07,sz.002254,300,19231.829999999998,64.1061,2024-02-22,72.6246,MA,0.129648,6,104.48161004013656
2024-02-07,sz.002139,100,12094.32,120.9432,2024-02-20,135.2319,MA,0.114937,4,107.23082570160926
2024-04-18,sh.603991,700,19703.18,28.1474,2024-05-10,25.8956,STOP,-0.08286,14,118.02057114592569
2024-04-18,sh.605289,500,17004.25,34.0085,2024-04-26,38.9108,MA,0.140895,7,158.05869463501307
2024-04-18,sh.603268,1000,19644.4,19.6444,2024-04-22,18.0728,STOP,-0.08286,3,415.67429581535066
2024-06-11,sz.000592,2500,19493.75,7.7975,2024-06-20,7.1737,STOP,-0.08286,8,122.88096501374152
2024-06-11,sh.603268,1100,18582.3,16.893,2024-06-19,20.628,MA,0.21771,7,415.67429581535066
2025-01-08,sh.601615,1700,19697.05,11.5865,2025-02-10,12.1053,MA,0.041698,18,260.2114782929519
2025-04-09,sh.603859,500,19464.300000000003,38.9286,2025-04-28,45.3865,MA,0.162601,14,101.05475632292573
2025-04-09,sh.600446,100,18139.05,181.3905,2025-05-07,199.9979,MA,0.099402,18,103.86087539836632
2025-04-09,sz.002583,300,16053.240000000002,53.5108,2025-04-21,70.8595,MA,0.320643,9,106.64447084462104
2025-04-09,sh.603906,1000,18367.7,18.3677,2025-05-06,20.4669,MA,0.111086,17,109.8836561301691
2025-04-09,sz.000099,300,17825.19,59.4173,2025-04-24,68.156,MA,0.143816,12,110.34876916354725
2025-04-09,sz.002668,400,17982.64,44.9566,2025-04-23,53.3551,MA,0.183486,11,111.09925935831596
2025-04-09,sz.000801,100,14894.49,148.9449,2025-04-23,169.1446,MA,0.132381,11,116.67658963487472
2025-04-09,sz.002183,300,18429.54,61.4318,2025-04-15,72.0497,MA,0.169537,5,118.95246283905462
2025-04-09,sz.002354,1300,18753.8,14.426,2025-04-28,17.2997,MA,0.195855,14,125.39721473036896
2025-04-09,sz.000680,500,17500.2,35.0004,2025-04-22,41.1073,MA,0.171174,10,142.02363139645894
2025-04-10,sz.002439,100,12962.94,129.6294,2025-05-06,131.1445,MA,0.008668,16,101.99479711573646
2026-03-25,sh.600490,200,17769.78,88.8489,2026-04-09,93.8627,MA,0.053332,11,141.8564432697809
2026-03-25,sh.600711,200,18585.8,92.929,2026-04-02,105.1953,MA,0.128766,7,360.418571063196
2026-06-30,sh.600737,100,16018.68,160.1868,2026-07-02,182.165,MA,0.133963,3,283.35099174173104
2026-07-22,sh.600338,1000,18488.0,18.488,2026-08-03,19.3728,MA,0.044771,9,124.6821422408205
