ma_s,win,ma_f,tp,sl,td,n,pf,avg_ret,win_rate,avg_cost,sum_ret
20,7,5,4.0,2.0,10,2390,0.8341998343505799,-0.005386193266890617,0.43640167364016735,0.0035965530889085335,-12.873001907868556
40,5,5,4.0,2.0,10,1097,0.8319683407933584,-0.005106494988794747,0.4357338195077484,0.003594899672144408,-5.6018250027078365
30,5,5,4.0,2.0,10,1326,0.8307013838103335,-0.005425381631932925,0.4479638009049774,0.003592394431432729,-7.194056043943065
30,7,5,4.0,2.0,10,1692,0.8302849242178909,-0.005429423199751403,0.44148936170212766,0.003594015976504889,-9.186584053979372
20,3,5,4.0,2.0,10,1225,0.8283017252789409,-0.005711970601689098,0.42448979591836733,0.0035891672967078006,-6.997163987069143
30,4,5,4.0,2.0,10,1094,0.8240431527710653,-0.005620348317984216,0.45429616087751373,0.003588343746459977,-6.148661059874737
30,3,5,4.0,2.0,10,905,0.8237529272909907,-0.005629695104538217,0.4530386740331492,0.0035898685657885523,-5.094874069607086
40,4,5,4.0,2.0,10,946,0.8205703517105875,-0.005605700861462286,0.43023255813953487,0.003594341404514159,-5.302993014943319
80,4,5,4.0,2.0,10,628,0.8202824194502351,-0.0056908773855704154,0.40605095541401276,0.0035869203908670912,-3.5738709981382217
70,8,5,4.0,2.0,10,1078,0.8188460492614908,-0.005814171671633464,0.42207792207792205,0.0035859304512696785,-6.267677062020877
80,10,5,4.0,2.0,10,1181,0.8183521629332307,-0.006062625769055167,0.41490262489415747,0.003587673197870601,-7.159961033254143
20,8,5,4.0,2.0,10,2644,0.8173335131951465,-0.006026955337700345,0.4345688350983359,0.003595495417870165,-15.935269912879702
80,9,5,4.0,2.0,10,1114,0.8162292445425166,-0.0061013438249926735,0.41831238779174146,0.0035875386263646493,-6.79689702104183
30,6,5,4.0,2.0,10,1498,0.8153450130846496,-0.005914030076804801,0.4379172229639519,0.0035929486278270177,-8.859217055053593
70,9,5,4.0,2.0,10,1170,0.8098232960804004,-0.006162093204396943,0.4188034188034188,0.0035881273563576886,-7.209649049144424
20,9,5,4.0,2.0,10,2899,0.8083229372336073,-0.006354301447574491,0.42980338047602623,0.003595135519162608,-18.421119896518448
70,3,5,4.0,2.0,10,497,0.8056970329802546,-0.006025161038211587,0.42857142857142855,0.00357753930764479,-2.9945050359911605
20,10,5,4.0,2.0,10,3128,0.8037906665801482,-0.006552150876658126,0.42838874680306904,0.0035964916592946014,-20.495127942186613
90,9,5,4.0,2.0,10,1014,0.8035547913622291,-0.006428604548738404,0.4289940828402367,0.0035814526943896766,-6.518605012420741
70,10,5,4.0,2.0,10,1258,0.8028884307136163,-0.00644849683838347,0.41971383147853736,0.0035859117446766014,-8.112209022686407
60,10,5,4.0,2.0,10,1450,0.7991769899748795,-0.006389840683972432,0.40827586206896554,0.003596562745867235,-9.265268991760024
40,3,5,4.0,2.0,10,762,0.7990398818442629,-0.006360486903629151,0.4330708661417323,0.003592772925075112,-4.846691020565412
60,9,5,4.0,2.0,10,1334,0.7950808184604106,-0.006579146914673297,0.4062968515742129,0.0035955464621945793,-8.776581984174175
90,8,5,4.0,2.0,10,939,0.7936567223987749,-0.006749413234816268,0.42705005324813633,0.003579332297249622,-6.337699027492474
90,4,5,4.0,2.0,10,557,0.7933974867850012,-0.006669425486810353,0.4326750448833034,0.0035750663695753343,-3.714869996153362
90,6,5,4.0,2.0,10,788,0.7868571658946534,-0.0070371002762057355,0.4276649746192893,0.003578536809912173,-5.545235017650116
90,5,5,4.0,2.0,10,675,0.7827466101638373,-0.007124164464534115,0.42962962962962964,0.0035755155614445684,-4.808811013560525
90,7,5,4.0,2.0,10,861,0.7799839320245363,-0.007212135905361088,0.42392566782810687,0.0035782857245125676,-6.209649014515895
60,8,5,4.0,2.0,10,1231,0.7659764761324092,-0.00764914214030696,0.39967506092607635,0.0035945068826077897,-9.416093974717858
80,3,5,4.0,2.0,10,490,0.7616386565904686,-0.007654140765913849,0.38979591836734695,0.0035806080804710785,-3.750528975297785
90,3,5,4.0,2.0,10,431,0.7574497311687253,-0.007810111333830565,0.42691415313225056,0.0035750069031241323,-3.366157984880973
60,7,5,4.0,2.0,10,1099,0.7561088215944953,-0.008003811639579672,0.4012738853503185,0.0035904194638732272,-8.796188991898054
60,6,5,4.0,2.0,10,996,0.7346944953402509,-0.008969614446879349,0.39759036144578314,0.0035885070190921258,-8.93373598909183
60,5,5,4.0,2.0,10,872,0.7193407199215143,-0.009662930035106815,0.38646788990825687,0.003589067669472463,-8.426074990613138
60,4,5,4.0,2.0,10,713,0.7015987870313541,-0.010304509130420076,0.37868162692847124,0.003591047738734171,-7.347115009989507
60,3,5,4.0,2.0,10,565,0.613229096052711,-0.014082405287198117,0.3486725663716814,0.0035871522053421354,-7.9565589872669324
