code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.601086,2017-12-07,7.17,2017-12-12,8.14,MA,4,0.135286,0.13151,156
sh.601086,2018-06-21,8.4018,2018-07-05,7.7297,STOP,11,-0.08,-0.083462,348
sh.601089,2024-02-07,13.4772,2024-02-27,14.8566,MA,9,0.10235,0.098637,986
sh.601208,2024-02-07,26.7233,2024-02-20,31.822,MA,4,0.190797,0.186763,986
sh.601212,2018-06-21,4.1049,2018-07-06,3.7765,STOP,12,-0.08,-0.083395,348
sh.601212,2018-10-22,3.1014,2018-11-06,3.4025,MA,12,0.097087,0.093434,282
sh.601212,2020-02-05,2.9006,2020-02-20,3.4125,MA,12,0.176471,0.172692,525
sh.601218,2022-04-28,8.5721,2022-05-18,9.3598,MA,12,0.091892,0.088194,837
sh.601218,2024-02-07,5.8252,2024-02-27,7.2223,MA,9,0.239837,0.235968,986
sh.601222,2022-04-28,32.216,2022-05-12,35.7305,MA,8,0.109091,0.105393,837
sh.601226,2018-06-21,5.8508,2018-07-16,5.7747,MA,18,-0.013021,-0.016507,348
sh.601226,2019-05-08,6.7513,2019-06-13,7.4081,MA,26,0.097285,0.093581,200
sh.601226,2022-04-28,6.6361,2022-05-23,7.0713,MA,15,0.065574,0.061971,837
sh.601231,2025-04-10,32.4429,2025-05-06,33.3528,MA,16,0.028044,0.024475,463
sh.601233,2018-10-22,39.031,2018-10-25,35.7985,STOP,4,-0.082817,-0.086474,282
sh.601137,2019-05-09,16.8159,2019-05-22,19.7835,MA,10,0.176471,0.172517,144
sh.601137,2025-04-10,41.0387,2025-05-06,41.2266,MA,16,0.004579,0.000854,463
sh.601138,2025-04-10,20.7958,2025-04-28,21.214,MA,13,0.020112,0.016379,463
sh.601162,2019-05-08,7.75,2019-05-28,8.96,MA,15,0.156129,0.15232,200
sh.601162,2020-02-05,5.6457,2020-02-18,6.3865,MA,10,0.131206,0.127467,525
sh.601177,2024-01-24,8.356,2024-02-02,7.6875,STOP,8,-0.08,-0.083468,148
sh.601177,2024-02-07,7.2364,2024-02-23,8.1902,MA,7,0.131805,0.128044,986
sh.601100,2022-03-17,182.4749,2022-04-11,183.1871,MA,16,0.003903,0.000849,122
sh.601101,2020-02-05,12.2789,2020-02-24,13.3808,MA,14,0.089744,0.086091,525
sh.601108,2017-12-07,17.32,2017-12-26,17.75,MA,14,0.024827,0.021135,156
