lb,ov,tr,n,pf,avg_ret,win_rate,avg_cost,sum_ret
25,0.5,0.05,5812,0.7068126769750219,-0.008648875457027526,0.364762560220234,0.003590730802821813,-50.26726415624398
25,0.3,0.05,7180,0.705375811067709,-0.008679776742679718,0.3605849582172702,0.0035908716151103574,-62.32079701244038
25,0.6000000000000001,0.05,5082,0.700426302480147,-0.008901025016510928,0.3646202282565919,0.0035906045454026612,-45.235009133908534
30,0.5,0.05,6283,0.6913886727767299,-0.009077756516003812,0.35890498169664176,0.0035905841829151058,-57.03554419005195
30,0.4,0.05,7012,0.6901289412768468,-0.009095657610964827,0.356531660011409,0.003589972239727795,-63.778751168085364
20,0.4,0.05,5927,0.6899298610476265,-0.009206314841917265,0.362240593892357,0.003589768894296328,-54.56582806804363
20,0.3,0.05,6559,0.6881155134825934,-0.009291927721390389,0.36087818264979415,0.0035907944906048124,-60.94575392459956
20,0.5,0.05,5286,0.6880958656333296,-0.0092779005051796,0.36530457813091183,0.003590189989216109,-49.04298207037937
30,0.6000000000000001,0.05,5513,0.6852236114194598,-0.009318312017204402,0.35878831851986215,0.003590361559745496,-51.37185415084787
30,0.3,0.05,7728,0.6851125666254231,-0.009265623972476761,0.35507246376811596,0.003590535352892087,-71.6047420593004
15,0.3,0.05,5751,0.684565471236744,-0.00956312794045857,0.3620239958268127,0.003589680566836291,-54.99754878557724
20,0.6000000000000001,0.05,4591,0.6818416057456774,-0.009529911138377442,0.3654977129165759,0.0035901010991003313,-43.75182203629083
15,0.4,0.05,5161,0.6789799962995345,-0.009746894386683743,0.3619453594264677,0.00358844160042689,-50.30372192967479
15,0.5,0.05,4603,0.6746305589616325,-0.009919164009366805,0.3645448620464914,0.003588892483573588,-45.65791193511541
15,0.6000000000000001,0.05,3985,0.6694487986880893,-0.010127104372551873,0.3658720200752823,0.0035889134246682624,-40.356510924619215
10,0.3,0.05,4717,0.6651738143813843,-0.010566244380962195,0.359126563493746,0.003587035805317328,-49.840974744998675
10,0.4,0.05,4210,0.6645728717333373,-0.010577797593360238,0.35985748218527314,0.0035856888470734184,-44.5325278680466
10,0.5,0.05,3718,0.6620492381701304,-0.010730585232917877,0.3628294782140936,0.0035864803790786144,-39.896315895988664
10,0.6000000000000001,0.05,3198,0.6574904747914238,-0.010894318925681708,0.36585365853658536,0.0035857704831128772,-34.840031924330106
25,0.3,0.07,7126,0.5882147459929186,-0.014003286831507472,0.32191973056413137,0.003583108079018805,-99.78742196132225
25,0.4,0.07,6458,0.5856283078532883,-0.014046722990142233,0.322700526478786,0.0035821443539075497,-90.71373707033854
25,0.5,0.07,5778,0.5832554628147995,-0.014157319845645626,0.3236413984077535,0.0035826606511652932,-81.80099406814043
25,0.6000000000000001,0.07,5058,0.5803208579656544,-0.014352857064740175,0.3232502965599051,0.0035826121233007036,-72.5967510334558
20,0.3,0.07,6514,0.5755200239872456,-0.014548283223046682,0.32130795210316243,0.003583157206194853,-94.76751691492609
30,0.5,0.07,6245,0.5748329098395669,-0.014447150700370613,0.3207365892714171,0.0035827574571605132,-90.22245612381448
30,0.3,0.07,7666,0.5746110836404068,-0.014483401388855923,0.31907122358465956,0.0035829249009544685,-111.02975504696951
30,0.4,0.07,6962,0.5744703559435614,-0.014440333686156529,0.31959207124389544,0.0035821857671083177,-100.53360312302175
15,0.3,0.07,5716,0.5721482652783275,-0.014830401473230975,0.3224282715185444,0.0035819251105935097,-84.77057482098826
20,0.4,0.07,5893,0.5714330263185827,-0.014618104365229955,0.32224673341252336,0.0035818605256127106,-86.14448902430013
30,0.6000000000000001,0.07,5487,0.5702532145772421,-0.014691047215554833,0.320029159832331,0.0035824955651532035,-80.60977607174937
20,0.5,0.07,5259,0.5685710410231846,-0.01473349059355884,0.323635672181023,0.003582187889032463,-77.48342703152593
20,0.6000000000000001,0.07,4571,0.5649233848719285,-0.014961327936277108,0.32203019033034347,0.0035821384777454963,-68.38822999672266
15,0.4,0.07,5136,0.5602196455536641,-0.015234348120102537,0.32281931464174457,0.0035803138648137518,-78.24361194484663
15,0.5,0.07,4584,0.5600061246055184,-0.015268077641152428,0.3239528795811518,0.0035809674860237447,-69.98886790704273
15,0.6000000000000001,0.07,3971,0.5575229206278061,-0.015425723968848557,0.3233442457819189,0.003581091119363944,-61.25554988029762
10,0.3,0.07,4689,0.5562779593778868,-0.015849062665196718,0.31904457240349754,0.003579213045849407,-74.31625483710741
10,0.6000000000000001,0.07,3189,0.5537599460682994,-0.015982271547430687,0.3217309501411101,0.0035782969606254576,-50.96746396475646
25,0.3,0.09,7015,0.5536867787035015,-0.017848711164632644,0.30277975766215254,0.003577446995674473,-125.20870881989799
10,0.5,0.07,3704,0.5535294987003344,-0.01597272217941183,0.3204643628509719,0.0035786638928193178,-59.16296295254142
25,0.4,0.09,6369,0.5508457419823306,-0.017894742023667125,0.3042863871879416,0.0035767007087745793,-113.97161194873593
10,0.4,0.07,4189,0.5490308638938596,-0.01607483265162808,0.3201241346383385,0.0035775116039423634,-67.33747397767002
30,0.3,0.09,7545,0.5489933121981777,-0.018133051149160397,0.29966865473823723,0.003577533305915351,-136.81387092041518
30,0.4,0.09,6861,0.548085705803922,-0.018100490748247215,0.3009765340329398,0.0035769718568991263,-124.18746702372414
30,0.5,0.09,6160,0.5472584393408438,-0.018126679403192725,0.3001623376623377,0.0035774162385337517,-111.66034512366718
25,0.5,0.09,5705,0.5464166944041727,-0.01810660930356437,0.3025416301489921,0.0035769372421561273,-103.29820607683473
30,0.6000000000000001,0.09,5421,0.53924181154516,-0.018539744891482256,0.29643977125991516,0.0035767635166749547,-100.50395705672531
20,0.3,0.09,6420,0.5379335628346421,-0.018617848258398295,0.2998442367601246,0.0035771296845916577,-119.52658581891706
25,0.6000000000000001,0.09,5004,0.5362144944110685,-0.01861965368459564,0.2981614708233413,0.003576255592248152,-93.17274703771659
20,0.4,0.09,5820,0.5339875239026461,-0.018665236933563346,0.3017182130584192,0.0035760633514476305,-108.63167895333868
15,0.3,0.09,5642,0.5294943139247431,-0.019070233736909463,0.29812123360510456,0.0035758390097046858,-107.5942587436432
20,0.5,0.09,5201,0.5278971294490269,-0.018928635269044033,0.3001345895020188,0.0035760922586221457,-98.44783203429802
20,0.6000000000000001,0.09,4529,0.5219279824169747,-0.01925510090925856,0.2965334510929565,0.003575787557264117,-87.20635201803202
15,0.4,0.09,5079,0.5179398616411729,-0.019501122444230024,0.2988777318369758,0.003574181698811782,-99.0462008942443
15,0.5,0.09,4540,0.5132161518214184,-0.01974259448851719,0.29625550660792954,0.0035743894155833116,-89.63137897786805
15,0.6000000000000001,0.09,3937,0.5116586860734634,-0.019830832606998992,0.2933705867411735,0.003574588252400847,-78.07398797375504
10,0.3,0.09,4636,0.5079809010360156,-0.020387877219396642,0.29465056082830027,0.0035725980955879713,-94.51819878912283
10,0.4,0.09,4149,0.5025829693858844,-0.020563707625968215,0.29645697758496026,0.0035709746795561867,-85.31882294014213
10,0.6000000000000001,0.09,3167,0.5005496257993045,-0.02065240701711131,0.2942848121250395,0.003571431008986093,-65.40617302319151
10,0.5,0.09,3675,0.49888778195673134,-0.020806072112671766,0.29333333333333333,0.0035714579572434686,-76.46231501406874
